,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
1606,7608.0,152.08221,37.58607,0.04668,0.03664,2.60394,57.26442,90.11137
1607,7608.5,102.91319,37.36362,0.04604,0.03641,2.60038,57.08361,89.99763
1608,7609.0,73.55755,40.69223,0.04853,0.03977,2.60633,57.41058,90.54821
1609,7609.5,47.72886,44.48816,0.05697,0.04922,2.60651,58.12225,91.01305
1610,7610.0,39.93802,45.37179,0.06449,0.05848,2.5966,58.63734,91.01601
1611,7610.5,49.66075,44.47221,0.06423,0.05979,2.58991,58.39971,90.38422
1612,7611.0,84.9766,42.35644,0.05697,0.05282,2.59216,57.47451,89.21605
1613,7611.5,117.25805,40.64287,0.04719,0.04137,2.60151,56.54974,88.01014
1614,7612.0,119.63096,38.20895,0.03998,0.03228,2.60979,56.06538,87.27464
1615,7612.5,137.09999,34.65419,0.03611,0.02763,2.61439,56.13702,87.05282
1616,7613.0,137.82593,31.00835,0.03445,0.02652,2.62071,56.22716,86.99721
1617,7613.5,177.76561,28.52405,0.03756,0.03086,2.62266,56.20548,86.58151
1618,7614.0,121.43636,28.64867,0.04404,0.03929,2.61159,56.3286,86.30664
1619,7614.5,74.06411,28.75126,0.04865,0.04634,2.59774,56.70971,86.4461
1620,7615.0,103.72793,26.97575,0.04867,0.04805,2.59299,57.19374,86.93102
1621,7615.5,116.45361,24.95025,0.04552,0.04546,2.60252,57.18085,87.45785
1622,7616.0,129.88615,24.46347,0.04176,0.04176,2.61245,56.519,87.70058
1623,7616.5,174.35622,26.23226,0.0392,0.03916,2.61235,55.81097,87.58546
1624,7617.0,174.16174,27.89548,0.03854,0.03845,2.60784,55.56322,87.31676
1625,7617.5,157.81898,30.80428,0.04083,0.04073,2.60445,55.78482,87.1572
1626,7618.0,108.79594,35.62334,0.04307,0.04297,2.60294,56.24614,87.21857
1627,7618.5,115.80467,40.43925,0.04268,0.04256,2.60794,56.75873,87.52205
1628,7619.0,119.68871,43.70456,0.03892,0.03877,2.61726,56.96784,87.95284
1629,7619.5,90.344,43.98487,0.03463,0.03445,2.63032,56.77783,88.19067
1630,7620.0,110.96278,41.88007,0.03108,0.03086,2.63984,56.19356,88.0557
1631,7620.5,153.17264,39.0621,0.02495,0.02466,2.64321,55.46669,87.69029
1632,7621.0,174.40657,36.97618,0.01836,0.01789,2.64209,54.95395,87.2332
1633,7621.5,192.84171,36.03094,0.01973,0.01884,2.63474,54.98281,86.75545
1634,7622.0,188.73856,35.11784,0.02938,0.02813,2.6289,55.59548,86.22228
1635,7622.5,120.38809,34.11646,0.03495,0.03345,2.62722,56.28367,85.69931
1636,7623.0,130.72949,33.6515,0.03706,0.03547,2.62717,56.67666,85.47424
1637,7623.5,138.81023,33.70716,0.03736,0.03469,2.62513,56.72058,85.74284
1638,7624.0,123.32965,34.28384,0.03589,0.03097,2.6236,56.61724,86.42021
1639,7624.5,152.33569,34.6083,0.03203,0.02472,2.62523,56.49022,86.89742
1640,7625.0,151.2028,34.69016,0.03012,0.02137,2.63198,56.35438,86.88953
1641,7625.5,174.54582,34.14147,0.02944,0.02049,2.63345,56.16357,86.62
1642,7626.0,223.58093,34.14906,0.03027,0.022,2.63424,56.01551,86.51442
1643,7626.5,149.8548,35.43704,0.03228,0.0246,2.63215,56.20826,86.91376
1644,7627.0,103.20753,39.71193,0.03505,0.02682,2.6327,56.74916,87.80571
1645,7627.5,78.21144,44.8044,0.04147,0.03158,2.62585,57.33801,88.7424
1646,7628.0,52.29165,47.95062,0.04987,0.03871,2.60718,57.71967,89.26101
1647,7628.5,59.0063,47.95996,0.05548,0.04397,2.5906,57.89368,89.40113
1648,7629.0,55.41489,48.01809,0.05539,0.04433,2.58714,58.254,89.71466
1649,7629.5,48.05846,49.2131,0.05462,0.04452,2.59245,58.89326,90.55933
1650,7630.0,48.07603,48.9292,0.0547,0.04632,2.59139,59.49471,91.81873
1651,7630.5,48.34803,45.35709,0.05492,0.04898,2.58689,59.71408,92.94533
1652,7631.0,65.95602,40.8171,0.05553,0.05174,2.58273,59.38272,93.35313
1653,7631.5,82.80531,39.16224,0.05905,0.05627,2.57773,58.68498,92.78599
1654,7632.0,80.62215,39.08531,0.06156,0.05803,2.56546,58.04318,91.69894
